קטגוריית רכש,שם ספק,מדינה/מיקום,אתר,ישימות עם SOW (1-5),נימוק ישימות,מחסומים עיקריים,המלצות להתאמת ה-SOW
ציוד רפואי,Elbit Systems / Beyeonics,ישראל,https://www.elbitsystems.com,3,"ספק ביטחוני מוביל עם ניסיון עם משרד הביטחון, אך מתמחה בציוד אלקטרוני ולא בציוד רפואי בסיסי. מוכן לאישורי ביטחון נדרשים.","תחום ציוד רפואי בסיסי (כוורת, תרופות, מצרכים) אינו ליבת הפעילות. הדרישות למלאי חירום ב-24 שעות קשות עבור ספק הייטק.","הפרד בין ציוד רפואי ייחודי-ביטחוני (Elbit) לבין ציוד בסיסי (ספקים פרמצבטיים). הגדר בSOW אילו קטגוריות ניתן לספק יחד."
ציוד רפואי,כביר מדיקל,ישראל,https://www.kavir-medical.co.il,4,"חברה ישראלית המתמחה בציוד רפואי מתכלה ואביזרים. ניסיון בספקות לבתי חולים ממשלתיים. מסוגלת לעמוד ברוב דרישות ה-SOW.","דרישות ביטחון מידע ואישורי ביטחון לצוות עשויות להיות מכשול. אין ניסיון מוכח ספציפי עם צה״ל.","הוסף סעיף בSOW להכשרת צוות הספק לנהלי ביטחון בסיסיים (5 ימי הכשרה) כתנאי סף. זה יאפשר לספקים ממשלתיים רגילים להיכנס."
ציוד רפואי,מדטכניקה ישראל,ישראל,https://www.medtechnika.co.il,4,"ספק ותיק של ציוד רפואי לבתי חולים ממשלתיים. קטלוג רחב, תיעוד ISO 13485. מסוגל לעמוד בדרישות מסירה.","דרישות מלאי חירום ב-24 שעות במצב מלחמה הן אתגר לוגיסטי. צריך להוכיח יכולת פיזור גיאוגרפי ארצי.","עדכן SOW: אפשר מלאי חירום לאחסן במחסן ביניים מאושר (לא חייב להיות בידי הספק עצמו). מפחית חסם כניסה."
ציוד רפואי,Medtronic Israel (Given Imaging),ישראל/ארה״ב,https://www.medtronic.com/il-he,3,"חברת מכשור רפואי עולמית עם נוכחות ישראלית. יכולת טכנית גבוהה אך מחיר גבוה ותהליכי רכש בירוקרטיים.","חברה רב-לאומית עשויה להתנגד לדרישות ביטחון מידע ישראליות. זמן תגובה ב-24 שעות קשה למוצרים מיובאים. עיצומים חוזיים עשויים לא לתואם מדיניות החברה.","הבחן בSOW בין מוצרים מייצור ישראלי (זמן תגובה קצר) לייבוא (זמן תגובה 72 שעות). מפחית חסמי כניסה ומאפשר תחרות."
מכשור כירורגי,פועלים רפואה (Poalim Medical),ישראל,https://www.poalimmedical.co.il,4,"ספק מוביל של מכשור כירורגי לבתי חולים ממשלתיים בישראל. ניסיון ממשלתי רחב, אישורי משרד הבריאות.","גרסה 003 של SOW מחמירה מאוד - דורשת ISO 13485, רישיונות סטנדרטיים ספציפיים. דרישות מלאי חירום רחבות יש להגדיר כמותית.","הגדר בSOW רשימה ברורה של תקנים נדרשים (ISO 13485, CE, FDA) ואפשר תהליך הגשת שקילות. מצמצם ״הנעלת ספקים״."
מכשור כירורגי,B. Braun Israel,ישראל/גרמניה,https://www.bbraun.co.il,5,"חברה גרמנית-ישראלית מובילה בכלים כירורגיים מתכלים. ISO 13485, רישיונות בריאות ישראלים, ניסיון בסקטור הביטחוני.","עלויות גבוהות בהשוואה לספקים מקומיים. תלות במוצרים מיובאים עשויה ליצור בעיות בזמינות במלחמה.","הוסף בSOW סעיף ״מינימום תוצרת מקומית״ (20% מהפריטים מייצור ישראלי) לאבטחת שרשרת אספקה בחירום."
מכשור כירורגי,קרדיאל (Cardial),ישראל,https://www.cardial.co.il,3,"ספק מכשור רפואי ישראלי עם ניסיון בבתי חולים. מגוון מוצרים מוגבל בהשוואה לדרישות SOW הרחבות (גרסה 003).","קטלוג מוצרים מוגבל - ייתכן שלא יוכל לספק את מלוא טווח המכשור. אחריות ביטחונית לתיעוד מורכב.","שקול חלוקת ה-SOW לנסיונות משנה (Lots) לפי קטגוריות מכשור. מאפשר לספקים קטנים להתמחות."
חומרי ניקוי,סאנו (Sano),ישראל,https://www.sano.co.il,5,"הספק הישראלי המוביל לחומרי ניקוי. ניסיון ממשלתי רחב, קטלוג מוסדי. פריסה ארצית, יכולת מלאי גבוהה.","SOW אוקטובר 25 עם בעיות קידוד - חוסר בהירות לגבי מפרטים. ציון 3 של SOW מקשה על הבנת הדרישות המדויקות.","תקן ה-SOW ל-ISO 9001, הוסף רשימת מוצרים מאושרת (Approved Vendor List) שסאנו יכולה לעמוד בה. מייצר ודאות לשני הצדדים."
חומרי ניקוי,רקיט בנקיזר ישראל (Reckitt),ישראל/בריטניה,https://www.reckitt.com/il,4,"מותגים מוכרים (דטול, ליזול) עם כיסוי ממשלתי. הסכמי מסגרת קיימים עם גופים ממשלתיים ישראלים.","מוצרים מיובאים עם תלות בשרשרת אספקה בינלאומית. בעיות זמינות במצב חירום. מחיר גבוה.","הוסף בSOW ״תחליפים מאושרים״ - אם מוצר ספציפי אינו זמין, ניתן לספק שקילות. מגביר גמישות ותחרות."
חומרי ניקוי,הנקל ישראל (Henkel),ישראל/גרמניה,https://www.henkel.co.il,4,"מותגים מקצועיים (פרוול, פרסיל). מגזר מוסדי מנוסה. אחסון ומלאי מרכזיים.","ספק דואלי (צרכן + מוסדי) - ייתכן ועדיפות מוסדית נמוכה. בעיות מחיר.","בSOW הגדר SLA נפרד למוצרים חיוניים (חיטוי, קרינה) vs רגילים. מסייע לספקים לתעדף."
